AnimalID,SireID,DamID
PVHTC18G000A081,0,0
PVHTC18G000A095,0,0
PVHTC18G000A104,PVHTC17B000056S,PVHTC17B000T399
PVHTC18G000A117,PVHTC17B000087S,PVHTC17B000T396
PVHTC18G000A172,PVHTC17B000038S,PVHTC17B000T316
PVHTC18G000A176,PVHTC17B000038S,PVHTC17B000T316
PVHTC18G000A229,PVHTC17B000008S,PVHTC17B000T212
PVHTC18G000A230,PVHTC17B000030S,PVHTC17B000T400
PVHTC18G000A237,PVHTC17B000004S,PVHTC17B000T230
PVHTC18G000A265,PVHTC17B000024S,PVHTC17B000T293
PVHTC18G000A284,PVHTC17B000004S,PVHTC17B000T230
PVHTC18G000A301,PVHTC17B000065S,PVHTC17B000T355
PVHTC18G000A355,PVHTC17B000065S,PVHTC17B000T355
PVHTC18G000A361,PVHTC17B000065S,PVHTC17B000T355
PVHTC18G000A389,PVHTC17B000004S,PVHTC17B000T230
PVHTC18G000A593,0,0
PVHTC18G000B008,PVHTC17B000021S,PVHTC17B000T277
PVHTC18G000B011,PVHTC17B000025S,PVHTC17B000T294
PVHTC18G000B046,PVHTC17B000048S,PVHTC17B000T331
PVHTC18G000B050,PVHTC17B000012S,PVHTC17B000T361
PVHTC18G000B052,PVHTC17B000012S,PVHTC17B000T361
PVHTC18G000B060,PVHTC17B000026S,PVHTC17B000T296
PVHTC18G000B074,PVHTC17B000026S,PVHTC17B000T296
PVHTC18G000B119,PVHTC17B000053S,PVHTC17B000T339
PVHTC18G000B153,PVHTC17B000027S,PVHTC17B000T297
PVHTC18G000B205,PVHTC17B000063S,PVHTC17B000T352
PVHTC18G000B268,PVHTC17B000058S,PVHTC17B000T347
PVHTC18G000B272,PVHTC17B000034S,PVHTC17B000T311
PVHTC18G000B281,PVHTC17B000063S,PVHTC17B000T352
PVHTC18G000B289,PVHTC17B000061S,PVHTC17B000T350
PVHTC18G000B298,PVHTC17B000034S,PVHTC17B000T311
PVHTC18G000R006,PVHTC17B000060S,PVHTC17B000T344
PVHTC18G000R029,PVHTC17B000043S,PVHTC17B000T207
PVHTC18G000R056,PVHTC17B000060S,PVHTC17B000T344
PVHTC18G000R068,PVHTC17B000074S,PVHTC17B000T315
PVHTC18G000R079,PVHTC17B000050S,PVHTC17B000T334
PVHTC18G000R093,PVHTC17B000043S,PVHTC17B000T207
PVHTC18G000R098,PVHTC17B000050S,PVHTC17B000T334
PVHTC18G000R100,PVHTC17B000051S,PVHTC17B000T335
PVHTC18G000R122,PVHTC17B000036S,PVHTC17B000T313
PVHTC18G000R141,PVHTC17B000073S,PVHTC17B000T375
PVHTC18G000R155,PVHTC17B000051S,PVHTC17B000T335
PVHTC18G000R173,PVHTC17B000013S,PVHTC17B000T236
PVHTC18G000R180,PVHTC17B000028S,PVHTC17B000T301
PVHTC18G000R186,PVHTC17B000086S,PVHTC17B000T394
PVHTC18G000R238,PVHTC17B000010S,PVHTC17B000T224
PVHTC18G000R298,PVHTC17B000047S,PVHTC17B000T326
PVHTC18G000T312,0,0
PVHTC18G000T427,0,0
PVHTC18G000T458,0,0
PVHTC18G000T495,0,0
PVSIS18G0007004M,0,0
PVZWZ18G0105063M,0,0
PVZWZ18G0106044M,0,0
PVGSJ18G0011155M,PVGSJ17F030M092,PVGSJ17F030S558
